Time,Symbol,LTP
23:08:13,MCX:CRUDEOILM25MAYFUT,5384.0
23:08:15,MCX:CRUDEOILM25MAYFUT,5384.0
23:08:16,MCX:CRUDEOILM25MAYFUT,5384.0
23:08:17,MCX:CRUDEOILM25MAYFUT,5384.0
23:08:18,MCX:CRUDEOILM25MAYFUT,5384.0
23:08:19,MCX:CRUDEOILM25MAYFUT,5384.0
23:08:21,MCX:CRUDEOILM25MAYFUT,5384.0
23:08:23,MCX:CRUDEOILM25MAYFUT,5384.0
23:08:24,MCX:CRUDEOILM25MAYFUT,5384.0
23:08:26,MCX:CRUDEOILM25MAYFUT,5384.0
23:08:28,MCX:CRUDEOILM25MAYFUT,5384.0
23:08:29,MCX:CRUDEOILM25MAYFUT,5385.0
23:08:30,MCX:CRUDEOILM25MAYFUT,5385.0
23:08:32,MCX:CRUDEOILM25MAYFUT,5385.0
23:08:34,MCX:CRUDEOILM25MAYFUT,5385.0
23:08:35,MCX:CRUDEOILM25MAYFUT,5385.0
23:08:36,MCX:CRUDEOILM25MAYFUT,5385.0
23:08:38,MCX:CRUDEOILM25MAYFUT,5385.0
23:08:40,MCX:CRUDEOILM25MAYFUT,5385.0
23:08:41,MCX:CRUDEOILM25MAYFUT,5385.0
23:08:43,MCX:CRUDEOILM25MAYFUT,5385.0
23:08:44,MCX:CRUDEOILM25MAYFUT,5385.0
23:08:46,MCX:CRUDEOILM25MAYFUT,5385.0
23:08:47,MCX:CRUDEOILM25MAYFUT,5385.0
23:08:49,MCX:CRUDEOILM25MAYFUT,5384.0
23:08:50,MCX:CRUDEOILM25MAYFUT,5384.0
23:08:52,MCX:CRUDEOILM25MAYFUT,5386.0
23:08:53,MCX:CRUDEOILM25MAYFUT,5386.0
23:08:54,MCX:CRUDEOILM25MAYFUT,5386.0
23:08:56,MCX:CRUDEOILM25MAYFUT,5386.0
23:08:57,MCX:CRUDEOILM25MAYFUT,5386.0
23:08:58,MCX:CRUDEOILM25MAYFUT,5386.0
23:09:00,MCX:CRUDEOILM25MAYFUT,5386.0
23:09:01,MCX:CRUDEOILM25MAYFUT,5387.0
23:09:03,MCX:CRUDEOILM25MAYFUT,5386.0
23:09:04,MCX:CRUDEOILM25MAYFUT,5386.0
23:09:06,MCX:CRUDEOILM25MAYFUT,5386.0
23:09:07,MCX:CRUDEOILM25MAYFUT,5386.0
23:09:09,MCX:CRUDEOILM25MAYFUT,5386.0
23:09:11,MCX:CRUDEOILM25MAYFUT,5386.0
23:09:11,MCX:CRUDEOILM25MAYFUT,5386.0
23:09:13,MCX:CRUDEOILM25MAYFUT,5386.0
23:09:18,MCX:CRUDEOILM25MAYFUT,5386.0
